1PA,Joseph A Hardy Connellsville,"Connellsville, PA",Pennsylvania,"Connellsville, PA",39,N,57,33,39.95916667,79,W,39,27,-79.65750000,1/1/2022 12:00:00 AM,,0,1
1TN,Beech River Regional,"Lexington Parsons, TN",Tennessee,"Lexington Parsons, TN",35,N,39,23,35.65638889,88,W,11,43,-88.19527778,7/1/2018 12:00:00 AM,,0,1
1TX,Moore County,"Dumas, TX",Texas,"Dumas, TX",35,N,51,27,35.85750000,102,W,0,48,-102.01333333,1/1/2019 12:00:00 AM,,0,1
1VA,Warrenton Fauquier,"Warrenton, VA",Virginia,"Warrenton, VA",38,N,35,11,38.58638889,77,W,42,38,-77.71055556,1/1/2022 12:00:00 AM,,0,1
1WA,Deer Park Airport,"Deer Park, WA",Washington,"Deer Park, WA",47,N,58,1,47.96694444,117,W,25,43,-117.42861111,1/1/2021 12:00:00 AM,,0,1
2AK,Deer Park,"Deerpark, AK",Alaska,"Deerpark, AK",56,N,31,11,56.51972222,134,W,40,46,-134.67944444,6/1/2021 12:00:00 AM,,0,1
2CA,Delano Municipal,"Delano, CA",California,"Delano, CA",35,N,44,44,35.74555556,119,W,14,11,-119.23638889,10/1/2018 12:00:00 AM,,0,1
2FL,North Palm Beach County Gen Aviation,"West Palm Beach, FL",Florida,"West Palm Beach, FL",26,N,50,45,26.84583333,80,W,13,20,-80.22222222,1/1/2021 12:00:00 AM,,0,1
2GA,Camilla Mitchell County,"Camilla, GA",Georgia,"Camilla, GA",31,N,12,47,31.21305556,84,W,14,7,-84.23527778,1/1/2019 12:00:00 AM,,0,1
2NC,Asheboro Regional,"Asheboro, NC",North Carolina,"Asheboro, NC",35,N,39,16,35.65444444,79,W,53,41,-79.89472222,1/1/2019 12:00:00 AM,,0,1
2NJ,Southern Cross,"Williamstown, NJ",New Jersey,"Williamstown, NJ",39,N,39,20,39.65555556,75,W,0,52,-75.01444444,9/1/2023 12:00:00 AM,,0,1
2NY,Sands Point Seaplane Base,"Port Washington, NY",New York,"Port Washington, NY",40,N,49,39,40.82750000,73,W,43,1,-73.71694444,1/1/2018 12:00:00 AM,,0,1
2PA,Heliport 76er,"Philadelphia, PA",Pennsylvania,"Philadelphia, PA",39,N,54,12,39.90333333,75,W,9,49,-75.16361111,1/1/2024 12:00:00 AM,,0,1
2TN,Mark Anton,"Dayton, TN",Tennessee,"Dayton, TN",35,N,29,10,35.48611111,84,W,55,52,-84.93111111,1/1/2021 12:00:00 AM,,0,1
2TX,Brenham Municipal,"Brenham, TX",Texas,"Brenham, TX",30,N,13,11,30.21972222,96,W,22,28,-96.37444444,1/1/2021 12:00:00 AM,,0,1
2VA,Camp Peary Landing Strip,"Williamsburg, VA",Virginia,"Norfolk, VA (Metropolitan Area)",37,N,18,46,37.31277777,76,W,38,18,-76.63833333,12/1/2022 12:00:00 AM,,0,1
2WA,Tacoma Seaplane Base,"Tacoma, WA",Washington,"Tacoma, WA",47,N,17,0,47.28333333,122,W,28,25,-122.47361111,4/1/2024 12:00:00 AM,,0,1
2WK,Odessa Municipal,"Odessa, WA",Washington,"Odessa, WA",47,N,20,51,47.34750000,118,W,40,38,-118.67722222,4/1/2023 12:00:00 AM,,0,1
3AK,Gold Mining Landing Strip,"Tintina, AK",Alaska,"Tintina, AK",64,N,24,35,64.40972222,155,W,29,28,-155.49111111,1/1/2023 12:00:00 AM,,0,1
3CA,Garberville Airport,"Garberville, CA",California,"Garberville, CA",40,N,5,8,40.08555556,123,W,48,51,-123.81416667,1/1/2021 12:00:00 AM,,0,1
3FL,Wauchula Municipal,"Wauchula, FL",Florida,"Wauchula, FL",27,N,30,54,27.51500000,81,W,52,50,-81.88055556,1/1/2024 12:00:00 AM,,0,1
3GA,Early County,"Blakely, GA",Georgia,"Blakely, GA",31,N,23,51,31.39750000,84,W,53,41,-84.89472222,10/1/2019 12:00:00 AM,,0,1
3NC,Hendersonville Airport,"Hendersonville, NC",North Carolina,"Hendersonville, NC",35,N,18,27,35.30749999,82,W,25,59,-82.43305556,1/1/2023 12:00:00 AM,,0,1
3NJ,76ers Camden Heliport,"Camden, NJ",New Jersey,"Camden, NJ",39,N,56,31,39.94194444,75,W,7,42,-75.12833333,2/1/2024 12:00:00 AM,,0,1
